Country,"Yearly  Water Used (m³, thouand of liters)",Daily Water Used Per Capita (liters),Population
Afghanistan,"20,280,000,000","2,843","19,542,982"
Albania,"1,311,000,000","1,196","3,003,387"
Algeria,"9,978,000,000",678,"40,339,329"
Angola,"705,800,000",99,"19,450,959"
Antigua and Barbuda,"11,500,000",359,"87,674"
Argentina,"37,780,000,000","2,493","41,520,740"
Armenia,"2,847,000,000","2,735","2,851,923"
Australia,"16,130,000,000","1,826","24,195,701"
Austria,"3,492,000,000","1,144","8,362,829"
Azerbaijan,"12,780,000,000","3,476","10,071,567"
Bahrain,"434,400,000",844,"1,409,661"
Bangladesh,"35,870,000,000",676,"145,421,318"
Barbados,"81,000,000",824,"269,477"
Belarus,"1,452,000,000",410,"9,708,110"
Belgium,"6,005,000,000","1,523","10,801,356"
Belize,"101,000,000","1,151","240,406"
Benin,"130,000,000",49,"7,212,041"
Bhutan,"338,000,000","1,343","689,737"
Bolivia,"2,088,000,000",569,"10,051,317"
Bosnia and Herzegovina,"327,900,000",248,"3,617,559"
Botswana,"201,300,000",234,"2,352,416"
Brazil,"63,500,000,000",841,"206,859,578"
Bulgaria,"5,629,000,000","2,110","7,309,253"
Burkina Faso,"818,000,000",162,"13,876,127"
Burundi,"288,000,000",125,"6,307,659"
Côte d'Ivoire,"1,162,000,000",138,"22,995,555"
Cabo Verde,"22,000,000",129,"465,958"
Cambodia,"2,184,000,000",444,"13,477,779"
Cameroon,"966,400,000",175,"15,091,594"
Canada,"35,730,000,000","2,740","35,732,126"
Central African Republic,"72,500,000",47,"4,208,834"
Chad,"879,600,000",241,"10,005,012"
Chile,"35,430,000,000","5,943","16,334,575"
China,"598,100,000,000","1,176","1,393,715,448"
Colombia,"11,770,000,000",736,"43,815,313"
Comoros,"10,000,000",52,"526,443"
Congo,"46,000,000",38,"3,331,158"
Costa Rica,"3,194,000,000","1,788","4,895,242"
Croatia,"633,800,000",403,"4,308,854"
Cuba,"6,959,000,000","1,684","11,321,579"
Cyprus,"317,000,000",725,"1,197,881"
Czech Republic (Czechia),"1,635,000,000",425,"10,527,591"
Denmark,"652,000,000",319,"5,600,959"
Djibouti,"19,000,000",70,"742,033"
Dominica,"20,000,000",797,"68,755"
Dominican Republic,"7,156,000,000","2,006","9,775,755"
DR Congo,"683,600,000",33,"56,550,247"
Ecuador,"9,918,000,000","1,973","13,770,012"
Egypt,"77,500,000,000","2,086","101,789,386"
El Salvador,"2,118,000,000",961,"6,037,817"
Equatorial Guinea,"17,400,000",70,"684,977"
Eritrea,"582,000,000",577,"2,763,140"
Estonia,"1,720,000,000","3,585","1,314,526"
Eswatini,"1,042,000,000","2,770","1,030,496"
Ethiopia,"10,550,000,000",275,"105,293,228"
Fiji,"84,900,000",266,"874,923"
Finland,"6,562,000,000","3,414","5,266,251"
France,"29,370,000,000","1,257","63,989,319"
Gabon,"139,100,000",261,"1,458,353"
Gambia,"90,500,000",172,"1,437,539"
Georgia,"1,823,000,000","1,287","3,879,698"
Germany,"25,330,000,000",850,"81,680,591"
Ghana,"982,000,000",137,"19,665,502"
Greece,"9,630,000,000","2,379","11,091,493"
Grenada,"14,100,000",327,"117,972"
Guatemala,"3,324,000,000",679,"13,412,406"
Guinea,"553,300,000",179,"8,445,717"
Guinea-Bissau,"175,000,000",390,"1,230,849"
Guyana,"1,445,000,000","5,293","747,932"
Haiti,"1,450,000,000",408,"9,730,638"
Honduras,"1,607,000,000",611,"7,201,881"
Hungary,"5,051,000,000","1,395","9,922,127"
Iceland,"278,300,000","2,303","331,060"
India,"761,000,000,000","1,681","1,240,613,620"
Indonesia,"222,600,000,000","2,329","261,850,182"
Iran,"93,300,000,000","3,701","69,061,674"
Iraq,"38,550,000,000","2,729","38,697,943"
Ireland,"757,000,000",461,"4,499,792"
Israel,"1,954,000,000",812,"6,595,986"
Italy,"34,190,000,000","1,555","60,232,906"
Jamaica,"1,354,000,000","1,324","2,802,695"
Japan,"81,450,000,000","1,742","128,117,042"
Jordan,"1,044,000,000",287,"9,964,656"
Kazakhstan,"22,770,000,000","3,451","18,078,553"
Kenya,"4,032,000,000",231,"47,894,670"
Kuwait,"913,200,000","1,222","2,047,364"
Kyrgyzstan,"8,007,000,000","4,181","5,246,785"
Laos,"3,493,000,000","1,635","5,852,970"
Latvia,"224,400,000",312,"1,973,476"
Lebanon,"1,840,000,000",788,"6,398,940"
Lesotho,"43,800,000",60,"1,998,630"
Liberia,"130,800,000",124,"2,895,224"
Libya,"5,830,000,000","2,721","5,869,870"
Lithuania,"2,768,000,000","2,611","2,904,450"
Luxembourg,"44,000,000",207,"583,351"
Madagascar,"13,560,000,000","1,920","19,350,299"
Malawi,"1,357,000,000",291,"12,755,648"
Malaysia,"11,200,000,000","1,184","25,923,536"
